"data type","question","answer"
"string","How do you join a list of strings into a single string?","You can join a list of strings with the join() method."
"string","How do you reverse a string?","Use slicing: string[::-1]."
"string","How do you reverse a string?","Use slicing: `string[::-1]`."
"string","How do you split a string into a list?","To split a string into a list, use the split() method." 
"string","How would you reverse a string?","You can reverse a string using slicing: "Python"[::-1] results in "nohtyP"."
"string","What does string.replace('old', 'new') do?","string.replace('old', 'new') replaces all occurrences of 'old' with 'new' in a string."
"string","What is slicingstrings?","Slicing in strings allows extracting a part of the string: "Python"[1:4] results in "yth"."
"string","What is the difference between + and join() when combining strings?","The + operator concatenates strings, while join() is more efficient for joining multiple strings in a sequence."
"string","What is the output of `str(True)`?","Yes, lists can contain any data type, including dictionaries."
"string","What is the output of str(True)?","'True'."
"string","What is the purpose of the strip() method?","The strip() method removes leading and trailing whitespace from a string."
"string","What is the result of "Python" * 3?",""Python" * 3 results in "PythonPythonPython"."
"string","What is the result of len("Python")?","len("Python") returns 6 because the string contains 6 characters."
"string","How do you check if a string is a palindrome?","Compare the string with its reverse: string == string[::-1]."
"string","How do you split a string into a list of words?","Use split(): "Hello world".split()."
"string","How do you replace a substring in a string?","Use replace()."
"string","How do you check if a string is a number?","Use str.isdigit()."
"string","How do you convert a string to lowercase?","Use string.lower()."
"string","How do you convert a string to uppercase?","Use string.upper()."
"string","How do you find the ASCII value of a character?","Use ord()."
"string","How do you get the character from an ASCII value?","Use chr()."
"string","How do you format a string with a specific number of decimals?","Use f"{value:.2f}" for 2 decimal places."
"string","How do you join multiple strings with a separator?","Use "separator".join(list_of_strings)."
"string","How do you join multiple strings with a separator?","Use `"separator".join(list_of_strings)`."
"string","What does `max()` do when applied to a list of strings?","It returns the lexicographically largest string."
"tuple","Can a tuple contain a list?","Yes, a tuple can contain a list: (1, [2, 3])."
"tuple","Can a tuple contain mutable objects like lists?","Yes, but the tuple itself is immutable, so the objects inside can still be modified/"
"tuple","Can a tuple contain mutable objects like lists?","Yes, but the tuple itself is immutable, so the objects inside can still be modified."
"tuple","Can tuples have duplicate elements?","Yes, tuples can have duplicate elements."
"tuple","Can you change the value of a tuple after it’s created?","No, tuples are immutable."
"tuple","Can you change the values in a tuple?","No, you cannot change the values in a tuple after it’s created."
"tuple","Can you use a tuple as a dictionary key?","Yes, because tuples are hashable (if they contain only immutable elelments)."
"tuple","Can you use a tuple as a dictionary key?","Yes, because tuples are hashable (if they contain only immutable elements)."
"tuple","How can you check if a value exists in a tuple?","You check for existence in a tuple with in: 5 in (1, 2, 3) results in False."
"tuple","How do you access elements in a tuple?","You access elements in a tuple using indexing: my_tuple[0]."
"tuple","How do you check if a tuple contains a specific element?","Use element in my_tuple."
"tuple","How do you check if a tuple contains a specific element?","Use `element in my_tuple`."
"tuple","How do you check if two tuples are equal?","Use == to compare: tuple1 == tuple2."
"tuple","How do you check if two tuples are equal?","Use `==` to compare: `tuple1 == tuple2`."
"tuple","How do you check the number of occurrences of an element in a tuple?","Use the count() method: my_tuple.count(element)."
"tuple","How do you check the number of occurrences of an element in a tuple?","Use the `count()` method: `my_tuple.count(element)`."
"tuple","How do you concatenate two tuples?","You can concatenate two tuples using +: (1, 2) + (3, 4) results in (1, 2, 3, 4)."
"tuple","How do you concatenate two tuples?","Use the + operator: tuple1 + tuple2."
"tuple","How do you concatenate two tuples?","Use the `+` operator: `tuple1 + tuple2`."
"tuple","How do you convert a list into a tuple?","You can convert a list to a tuple using tuple(): tuple([1, 2, 3]) results in (1, 2, 3)."
"tuple","How do you convert a set to a tuple?","Use tuple(): tuple(my_set)."
"tuple","How do you convert a tuple to a list?","Use the list() function: list(my_tuple)."
"tuple","How do you convert a tuple to a list?","Use the `list()` function: `list(my_tuple)`."
"tuple","How do you count the number of occurrences of an element in a tuple?","You can count occurrences using the count() method: my_tuple.count(3)."
"tuple","How do you create a tuple with multiple elements?","You create it by using parentheses: (1, 2, 3)."
"tuple","How do you create a tuple with multiple elements?","You create it by using parentheses: `(1, 2, 3)`."
"tuple","How do you create a tuple with one element?","You create a tuple with one element by adding a trailing comma: (5,)."
"tuple","How do you create a tuple with one element?","Use a trailing comma: (5,)."
"tuple","How do you create a tuple with one element?","Use a trailing comma: `(5,)`."
"tuple","How do you create an empty tuple?","An empty tuple is created using () or tuple()."
"tuple","How do you find the index of an element in a tuple?","Use my_tuple.index(element)."
"tuple","How do you find the index of an element in a tuple?","Use `my_tuple.index(element)`."
"tuple","How do you find the length of a tuple?","Use len(my_tuple)."
"tuple","How do you find the length of a tuple?","Use `len(my_tuple)`."
"tuple","How do you reverse a tuple?","Use slicing: my_tuple[::-1]."
"tuple","How do you reverse a tuple?","Use slicing: `my_tuple[::-1]`."
"tuple","How do you unpack a tuple into variables?","Use assignment: a, b = my_tuple."
"tuple","How do you unpack a tuple into variables?","Use assignment: `a, b = my_tuple`."
"tuple","How do you unpack a tuple?","You can unpack a tuple by assigning its elements to variables: x, y = (1, 2)."
"tuple","What happens when you try to append to a tuple?","Trying to append to a tuple results in an error because tuples are immutable."
"tuple","What is a tuple?","A tuple in Python is an ordered collection of elements, similar to a list but immutable."
"tuple","What is the difference between a tuple and a list?","The main difference is that tuples are immutable (cannot be modified) while lists are mutable."
"tuple","What is the immutability property of tuples?","Tuples are immutable, meaning their values cannot be modified after creation."
"tuple","What is the result of slicing a tuple like my_tuple[1:3]?","The result of slicing a tuple like my_tuple[1:3] is a subtuple: (2, 3)."
"tuple","How do you concatenate two tuples?","Use the + operator: tuple1 + tuple2."
"tuple","What happens if you try to assign a value to an element in a tuple?","It raises a TypeError since tuples are immutable."
"tuple","How do you find the length of a tuple?","Use len(tuple)."
"tuple","How do you create a tuple with a single element?","Use a trailing comma: (5,)."
"tuple","How do you unpack a tuple into variables?","a, b = my_tuple."
"tuple","How do you reverse a tuple?","Use slicing: tuple[::-1]."
"tuple","Can a tuple contain different data types?","Yes, a tuple can contain any combination of data types."
"tuple","How do you check if a tuple is empty?","Use if not my_tuple:."
"tuple","How do you convert a tuple to a list?","Use list(my_tuple)."
"tuple","How do you find the maximum element in a tuple?","Use max(): max(my_tuple)."
"tuple","How do you find the minimum element in a tuple?","Use min(): min(my_tuple)."
"tuple","How do you count the number of occurrences of an element in a tuple?","Use my_tuple.count(element)."
"tuple","How do you check if a tuple contains a specific element?","Use element in my_tuple."
"tuple","How do you compare two tuples for equality?","Use the == operator: tuple1 == tuple2."
"tuple","How do you iterate over the elements of a tuple?","Use a for loop: for element in my_tuple:."
"tuple","What is the result of (1, 2) * 3?","(1, 2, 1, 2, 1, 2)—it repeats the tuple three times."
"tuple","Can you add elements to a tuple?","No, tuples are immutable."
"tuple","How do you convert a tuple into a set?","Use set(my_tuple)."
"tuple","Can you use a tuple as a dictionary key?","Yes, as long as the tuple is immutable."
"tuple","How do you find the index of an element in a tuple?","Use my_tuple.index(element)."
